DATE_TIME;LATITUDE;LONGITUDE;GEOHASH;MAXIMUM_SPEED;MINIMUM_SPEED;AVERAGE_SPEED;NUMBER_OF_VEHICLES
2022-01-29 04:00:00.0000000;289215078203392;410311882440704;sxk96j;127;6;68;123
2022-01-29 05:00:00.0000000;289215078203392;410311882440704;sxk96j;118;2;59;189
2022-01-29 06:00:00.0000000;289215078203392;410311882440704;sxk96j;125;3;58;340
2022-01-29 07:00:00.0000000;289215078203392;410311882440704;sxk96j;116;8;61;315
2022-01-29 08:00:00.0000000;289215078203392;410311882440704;sxk96j;121;6;62;351
2022-01-29 09:00:00.0000000;289215078203392;410311882440704;sxk96j;121;2;56;334
2022-01-29 10:00:00.0000000;289215078203392;410311882440704;sxk96j;108;2;55;363
2022-01-29 11:00:00.0000000;289215078203392;410311882440704;sxk96j;124;2;55;389
2022-09-01 21:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;107;9;59;238
2022-09-01 22:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;108;6;58;302
2022-09-01 23:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;118;1;59;219
2022-09-02 00:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;120;6;62;258
2022-09-02 01:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;131;6;65;189
2022-02-06 02:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;119;6;66;152
2022-09-04 05:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;133;6;64;102
2022-09-04 06:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;142;6;65;227
2022-05-04 20:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;128;8;60;315
2022-02-02 09:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;97;2;46;511
2022-05-04 21:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;116;6;62;318
2022-09-06 04:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;128;7;64;88
2022-09-06 05:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;128;6;61;237
2022-09-06 06:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;127;6;62;508
2022-09-06 07:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;116;2;49;387
2022-05-08 05:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;135;7;69;147
2022-05-08 06:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;127;6;57;235
2022-09-02 15:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;98;2;43;274
2022-09-02 16:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;115;1;44;273
2022-09-03 01:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;142;7;64;236
2022-09-03 02:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;149;6;67;182
2022-09-04 18:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;118;11;62;264
2022-09-04 19:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;115;3;61;335
2022-09-04 20:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;109;7;60;285
2022-09-04 21:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;112;8;61;293
2022-05-03 03:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;125;6;66;81
2022-02-07 08:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;108;2;35;406
2022-05-10 04:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;132;1;64;103
2022-05-19 03:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;145;6;63;118
2022-05-07 12:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;107;3;50;417
2022-05-07 13:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;111;1;42;446
2022-02-04 00:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;130;9;66;235
2022-02-04 01:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;142;5;65;156
2022-05-08 15:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;106;2;42;381
2022-05-08 16:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;102;3;40;76
2022-05-12 10:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;116;1;29;551
2022-05-16 03:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;120;12;61;73
2022-09-23 12:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;107;2;40;303
2022-09-23 13:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;118;3;52;254
2022-02-22 06:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;112;6;61;435
2022-05-20 13:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;125;2;56;490
2022-09-10 02:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;122;7;66;157
2022-09-10 03:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;130;7;61;111
2022-09-10 04:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;128;6;61;133
2022-01-01 14:00:00.0000000;289215078203392;410311882440704;sxk96j;118;2;61;363
2022-01-01 15:00:00.0000000;289215078203392;410311882440704;sxk96j;117;3;53;382
2022-01-01 16:00:00.0000000;289215078203392;410311882440704;sxk96j;119;6;48;335
2022-01-01 17:00:00.0000000;289215078203392;410311882440704;sxk96j;108;4;57;298
2022-01-01 18:00:00.0000000;289215078203392;410311882440704;sxk96j;125;6;58;298
2022-01-01 19:00:00.0000000;289215078203392;410311882440704;sxk96j;115;7;60;288
2022-01-06 23:00:00.0000000;289215078203392;410311882440704;sxk96j;132;7;66;251
2022-01-07 00:00:00.0000000;289215078203392;410311882440704;sxk96j;155;6;66;253
2022-01-07 01:00:00.0000000;289215078203392;410311882440704;sxk96j;139;6;64;165
2022-01-07 02:00:00.0000000;289215078203392;410311882440704;sxk96j;155;6;67;127
2022-01-07 03:00:00.0000000;289215078203392;410311882440704;sxk96j;147;6;67;95
2022-01-07 04:00:00.0000000;289215078203392;410311882440704;sxk96j;122;6;67;109
2022-01-12 00:00:00.0000000;289215078203392;410311882440704;sxk96j;139;12;65;210
2022-01-12 01:00:00.0000000;289215078203392;410311882440704;sxk96j;106;6;60;138
2022-01-12 02:00:00.0000000;289215078203392;410311882440704;sxk96j;115;7;66;128
2022-01-12 03:00:00.0000000;289215078203392;410311882440704;sxk96j;117;6;57;68
2022-01-12 04:00:00.0000000;289215078203392;410311882440704;sxk96j;116;6;63;96
2022-01-12 05:00:00.0000000;289215078203392;410311882440704;sxk96j;107;6;60;231
2022-01-12 06:00:00.0000000;289215078203392;410311882440704;sxk96j;114;4;56;524
2022-01-15 02:00:00.0000000;289215078203392;410311882440704;sxk96j;125;6;64;146
2022-01-15 03:00:00.0000000;289215078203392;410311882440704;sxk96j;116;2;62;110
